ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV471,+,Fungi,100%,Ascomycota,48%,Ascomycota_unidentified,48%,Ascomycota_unidentified_1,48%,Ascomycota_unidentified_1,48%,Ascomycota_unidentified_1_1,48%,Ascomycota_sp|SH241024.06FU,48%
ASV472,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,99%,Tremellales,99%,Incertae_sedis_12,99%,Dioszegia,99%,Dioszegia_takashimae|SH196965.06FU,71%
ASV473,+,Fungi,100%,Basidiomycota,89%,Tremellomycetes,85%,Tremellales,72%,Incertae_sedis_12,67%,Kockovaella,26%,Kockovaella_cucphuongensis|SH195545.06FU,13%
ASV474,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,95%,Pleosporales,93%,Montagnulaceae,93%,Montagnulaceae_unidentified,93%,Montagnulaceae_sp|SH239377.06FU,93%
ASV475,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Boletales,100%,Sclerodermataceae,100%,Pisolithus,100%,Pisolithus_arhizus|SH191043.06FU,97%
ASV476,+,Fungi,100%,Ascomycota,87%,Leotiomycetes,16%,Incertae_sedis,4%,Incertae_sedis_1,4%,Meliniomyces,4%,Meliniomyces_sp|SH215088.06FU,4%
ASV477,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,91%,Pleosporaceae_sp|SH224829.06FU,86%
ASV478,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,100%,Myrothecium_sp_HZ_6|SH199487.06FU,27%
ASV481,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,95%,Pleosporales,94%,Montagnulaceae,91%,Montagnulaceae_unidentified,91%,Montagnulaceae_sp|SH239377.06FU,91%
ASV482,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,100%,Phaeosphaeria,100%,Phaeosphaeria_sp|SH207014.06FU,100%
ASV483,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidiaceae_unidentified,100%,Ceratobasidiaceae_sp|SH199618.06FU,100%
ASV484,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Incertae_sedis_12,100%,Dioszegia,100%,Dioszegia_catarinonii|SH196960.06FU,100%
ASV487,+,Fungi,100%,Ascomycota,100%,Leotiomycetes,77%,Helotiales,77%,Helotiales_unidentified,77%,Helotiales_unidentified_1,77%,Helotiales_sp|SH191096.06FU,77%
ASV489,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,78%,Pleosporales,78%,Pleosporales_unidentified,40%,Pleosporales_unidentified_1,40%,Pleosporales_sp|SH196611.06FU,40%
ASV490,+,Fungi,100%,Fungi_unidentified,39%,Fungi_unidentified_1,39%,Fungi_unidentified_1,39%,Fungi_unidentified_1_1,39%,Fungi_unidentified_1_1,39%,Fungi_sp|SH217997.06FU,39%
ASV492,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,99%,Tremellales,99%,Incertae_sedis_12,99%,Cryptococcus_1,90%,Cryptococcus_dimennae|SH197113.06FU,76%
ASV493,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Thelephorales,100%,Thelephoraceae,100%,Thelephoraceae_unidentified,89%,Thelephoraceae_sp|SH202508.06FU,36%
ASV494,+,Fungi,100%,Ascomycota,89%,Dothideomycetes,75%,Pleosporales,69%,Pleosporales_unidentified,46%,Pleosporales_unidentified_1,46%,Pleosporales_sp|SH240081.06FU,37%
ASV495,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Botryosphaeriales,100%,Botryosphaeriaceae,100%,Botryosphaeria,100%,Botryosphaeria_corticis|SH206853.06FU,100%
ASV496,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Chaetomiaceae,100%,Chaetomiaceae_unidentified,98%,Chaetomiaceae_sp|SH234920.06FU,98%
ASV497,+,Fungi,100%,Fungi_unidentified,96%,Fungi_unidentified_1,96%,Fungi_unidentified_1,96%,Fungi_unidentified_1_1,96%,Fungi_unidentified_1_1,96%,Fungi_sp|SH226963.06FU,96%
ASV498,+,Fungi,100%,Ascomycota,94%,Sordariomycetes,90%,Sordariales,67%,Chaetomiaceae,41%,Chaetomiaceae_unidentified,37%,Chaetomiaceae_sp|SH231556.06FU,37%
ASV500,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Boletales,100%,Sclerodermataceae,100%,Pisolithus,100%,Pisolithus_sp|SH191049.06FU,100%
ASV501,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,62%,Ascomycota_unidentified_1,62%,Ascomycota_unidentified_1,62%,Ascomycota_unidentified_1_1,62%,Ascomycota_sp|SH240716.06FU,62%
ASV502,+,Fungi,100%,Fungi_unidentified,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1,100%,Fungi_unidentified_1_1,100%,Fungi_unidentified_1_1,100%,Fungi_sp|SH220785.06FU,100%
ASV504,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,83%,Pleosporaceae_sp|SH224812.06FU,51%
ASV506,+,Fungi,100%,Basidiomycota,76%,Agaricomycetes,67%,Polyporales,7%,Meruliaceae,5%,Junghuhnia,5%,Junghuhnia_autumnale|SH204020.06FU,5%
ASV507,+,Fungi,100%,Ascomycota,82%,Dothideomycetes,70%,Capnodiales,68%,Mycosphaerellaceae,33%,Periconiella,25%,Periconiella_velutina|SH212697.06FU,25%
ASV508,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,100%,Xylariaceae,80%,Xylaria,46%,Xylaria_sp_TP5BS101|SH197612.06FU,21%
ASV510,+,Fungi,100%,Ascomycota,100%,Orbiliomycetes,100%,Orbiliales,100%,Orbiliaceae,100%,Arthrobotrys,68%,Arthrobotrys_oligospora|SH220558.06FU,34%
ASV511,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH190252.06FU,100%
ASV512,+,Fungi,100%,Ascomycota,94%,Dothideomycetes,73%,Pleosporales,73%,Pleosporales_unidentified,52%,Pleosporales_unidentified_1,52%,Pleosporales_sp|SH196611.06FU,51%
ASV513,+,Fungi,100%,Ascomycota,41%,Eurotiomycetes,9%,Chaetothyriales,3%,Chaetothyriales_unidentified,3%,Chaetothyriales_unidentified_1,3%,Chaetothyriales_sp|SH228270.06FU,3%
ASV514,+,Fungi,100%,Ascomycota,96%,Dothideomycetes,89%,Pleosporales,88%,Pleosporales_unidentified,82%,Pleosporales_unidentified_1,82%,Pleosporales_sp|SH237285.06FU,82%
ASV515,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidiaceae_unidentified,100%,Ceratobasidiaceae_sp|SH237892.06FU,100%
ASV517,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,100%,Pleosporales_unidentified_1,100%,Pleosporales_sp|SH232445.06FU,100%
ASV518,+,Fungi,100%,Ascomycota,85%,Eurotiomycetes,19%,Eurotiales,9%,Trichocomaceae,9%,Penicillium,8%,Penicillium_sp_ATT162|SH225871.06FU,8%
ASV521,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Incertae_sedis_13,96%,Pyrenochaeta,96%,Pyrenochaeta_sp|SH196242.06FU,95%
ASV522,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH238036.06FU,100%
ASV524,+,Fungi,100%,Ascomycota,91%,Ascomycota_unidentified,16%,Ascomycota_unidentified_1,16%,Ascomycota_unidentified_1,16%,Ascomycota_unidentified_1_1,16%,Ascomycota_sp|SH227812.06FU,15%
ASV525,+,Fungi,100%,Ascomycota,99%,Leotiomycetes,96%,Helotiales,90%,Helotiales_unidentified,80%,Helotiales_unidentified_1,80%,Helotiales_sp|SH191096.06FU,80%
ASV526,+,Fungi,100%,Fungi_unidentified,71%,Fungi_unidentified_1,71%,Fungi_unidentified_1,71%,Fungi_unidentified_1_1,71%,Fungi_unidentified_1_1,71%,Fungi_sp|SH241025.06FU,71%
ASV527,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,100%,Myrothecium_gramineum|SH227386.06FU,100%
ASV528,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1_1,100%,Ascomycota_sp|SH207004.06FU,100%
ASV529,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,100%,Pleosporales_unidentified_1,100%,Pleosporales_sp|SH206992.06FU,100%
ASV530,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellales_unidentified,91%,Tremellales_unidentified_1,91%,Tremellales_sp|SH198062.06FU,91%
ASV531,+,Fungi,100%,Ascomycota,91%,Dothideomycetes,89%,Dothideomycetes_unidentified,55%,Dothideomycetes_unidentified_1,55%,Dothideomycetes_unidentified_1,55%,Dothideomycetes_sp|SH240197.06FU,55%
ASV532,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,99%,Capnodiales,99%,Mycosphaerellaceae,99%,Sphaerulina,48%,Sphaerulina_pseudovirgaureae|SH212655.06FU,48%
ASV533,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_unidentified,100%,Hypocreales_unidentified_1,100%,Hypocreales_sp|SH223288.06FU,100%
ASV534,+,Fungi,100%,Ascomycota,74%,Incertae_sedis_14,9%,Incertae_sedis_15,9%,Incertae_sedis_16,9%,Pulchromyces,9%,Pulchromyces_fimicola|SH227367.06FU,9%
ASV535,+,Fungi,100%,Ascomycota,91%,Pezizomycetes,51%,Pezizomycetes_unidentified,43%,Pezizomycetes_unidentified_1,43%,Pezizomycetes_unidentified_1,43%,Pezizomycetes_sp|SH232291.06FU,43%
ASV536,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,100%,Coprinellus,100%,Coprinellus_sabulicola|SH220732.06FU,100%
ASV538,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,60%,Ascomycota_unidentified_1,60%,Ascomycota_unidentified_1,60%,Ascomycota_unidentified_1_1,60%,Ascomycota_sp|SH240716.06FU,60%
ASV539,+,Fungi,100%,Fungi_unidentified,63%,Fungi_unidentified_1,63%,Fungi_unidentified_1,63%,Fungi_unidentified_1_1,63%,Fungi_unidentified_1_1,63%,Fungi_sp|SH207017.06FU,63%
ASV540,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Agaricales_unidentified,72%,Agaricales_unidentified_1,72%,Agaricales_sp|SH207965.06FU,72%
ASV541,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Thelephorales,100%,Thelephoraceae,100%,Tomentella,82%,Tomentella_sp|SH202646.06FU,73%
ASV542,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariomycetes_unidentified,100%,Sordariomycetes_unidentified_1,100%,Sordariomycetes_unidentified_1,100%,Sordariomycetes_sp|SH236270.06FU,100%
ASV543,+,Fungi,100%,Ascomycota,94%,Orbiliomycetes,92%,Orbiliomycetes_unidentified,92%,Orbiliomycetes_unidentified_1,92%,Orbiliomycetes_unidentified_1,92%,Orbiliomycetes_sp|SH234045.06FU,84%
ASV544,+,Fungi,100%,Ascomycota,94%,Pezizomycetes,67%,Pezizales,67%,Pyronemataceae,60%,Pyronemataceae_unidentified,60%,Pyronemataceae_sp|SH226417.06FU,35%
ASV545,+,Fungi,100%,Basidiomycota,75%,Agaricomycetes,74%,Cantharellales,70%,Ceratobasidiaceae,70%,Thanatephorus,70%,Thanatephorus_cucumeris|SH235414.06FU,70%
ASV546,+,Fungi,100%,Basidiomycota,89%,Agaricomycetes,89%,Agaricales,89%,Agaricales_unidentified,89%,Agaricales_unidentified_1,89%,Agaricales_sp|SH190088.06FU,88%
ASV547,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,83%,Sordariales,62%,Lasiosphaeriaceae,45%,Cercophora,16%,Cercophora_sp|SH220627.06FU,16%
ASV548,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,72%,Dothideomycetes_unidentified,56%,Dothideomycetes_unidentified_1,56%,Dothideomycetes_unidentified_1,56%,Dothideomycetes_sp|SH232444.06FU,52%
ASV549,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Incertae_sedis_17,79%,Rachicladosporium,79%,Rachicladosporium_americanum|SH235213.06FU,52%
ASV550,+,Fungi,100%,Ascomycota,99%,Eurotiomycetes,99%,Chaetothyriales,99%,Herpotrichiellaceae,98%,Herpotrichiellaceae_unidentified,61%,Herpotrichiellaceae_sp|SH225364.06FU,61%
ASV551,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,100%,Phaeosphaeria,100%,cf_Phaeosphaeria_sp_CPC_12130|SH231532.06FU,100%
ASV552,+,Fungi,100%,Ascomycota,93%,Dothideomycetes,79%,Pleosporales,72%,Pleosporales_unidentified,59%,Pleosporales_unidentified_1,59%,Pleosporales_sp|SH211759.06FU,58%
ASV553,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,100%,Mycocentrospora,99%,Mycocentrospora_acerina|SH196685.06FU,99%
ASV554,+,Fungi,100%,Fungi_unidentified,73%,Fungi_unidentified_1,73%,Fungi_unidentified_1,73%,Fungi_unidentified_1_1,73%,Fungi_unidentified_1_1,73%,Fungi_sp|SH237967.06FU,73%
ASV555,+,Fungi,100%,Basidiomycota,97%,Agaricomycetes,97%,Agaricales,97%,Psathyrellaceae,94%,Psathyrella,63%,Psathyrella_maculata|SH199699.06FU,27%
ASV556,+,Fungi,100%,Ascomycota,86%,Leotiomycetes,19%,Leotiales,5%,Leotiaceae,5%,Leotia,5%,Leotia_lubrica|SH232193.06FU,3%
ASV559,+,Fungi,100%,Chytridiomycota,76%,Chytridiomycota_unidentified,43%,Chytridiomycota_unidentified_1,43%,Chytridiomycota_unidentified_1,43%,Chytridiomycota_unidentified_1_1,43%,Chytridiomycota_sp|SH236624.06FU,29%
ASV560,+,Fungi,100%,Basidiomycota,100%,Cystobasidiomycetes,90%,Erythrobasidiales,90%,Incertae_sedis_41,90%,Erythrobasidium,90%,Erythrobasidium_hasegawianum|SH239324.06FU,90%
ASV561,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Capnodiales_unidentified,100%,Capnodiales_unidentified_1,100%,Capnodiales_sp|SH238954.06FU,100%
ASV562,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Capnodiales_unidentified,100%,Capnodiales_unidentified_1,100%,Capnodiales_sp|SH213804.06FU,100%
ASV564,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,100%,Amphisphaeriaceae,100%,Amphisphaeriaceae_unidentified,100%,Amphisphaeriaceae_sp|SH211289.06FU,100%
ASV566,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Lasiosphaeriaceae,100%,Podospora,100%,Podospora_communis|SH220624.06FU,100%
ASV567,+,Fungi,100%,Basidiomycota,100%,Ustilaginomycetes,99%,Ustilaginales,98%,Ustilaginaceae,98%,Pseudozyma,54%,Pseudozyma_flocculosa|SH239193.06FU,51%
ASV569,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Onygenales,100%,Onygenaceae,100%,Onygenaceae_unidentified,100%,Onygenaceae_sp|SH211054.06FU,89%
ASV570,+,Fungi,100%,Chytridiomycota,81%,Chytridiomycota_unidentified,32%,Chytridiomycota_unidentified_1,32%,Chytridiomycota_unidentified_1,32%,Chytridiomycota_unidentified_1_1,32%,Chytridiomycota_sp|SH233268.06FU,17%
ASV571,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,99%,Chaetothyriales,98%,Herpotrichiellaceae,98%,Herpotrichiellaceae_unidentified,83%,Herpotrichiellaceae_sp|SH209738.06FU,83%
ASV573,+,Fungi,100%,Ascomycota,76%,Ascomycota_unidentified,29%,Ascomycota_unidentified_1,29%,Ascomycota_unidentified_1,29%,Ascomycota_unidentified_1_1,29%,Ascomycota_sp|SH196684.06FU,23%
ASV574,+,Fungi,100%,Ascomycota,33%,Incertae_sedis_14,15%,Incertae_sedis_15,15%,Incertae_sedis_16,15%,Pulchromyces,11%,Pulchromyces_fimicola|SH227367.06FU,11%
ASV575,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,100%,Myrothecium_carmichaelii|SH199491.06FU,66%
ASV577,+,Fungi,100%,Basidiomycota,40%,Tremellomycetes,11%,Tremellales,11%,Tremellales_unidentified,9%,Tremellales_unidentified_1,9%,Tremellales_sp|SH229402.06FU,9%
ASV578,+,Fungi,100%,Ascomycota,88%,Dothideomycetes,68%,Capnodiales,64%,Teratosphaeriaceae,50%,Hortaea,38%,Hortaea_sp|SH238974.06FU,38%
ASV579,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH206996.06FU,100%
ASV580,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Chaetomiaceae,100%,Chaetomiaceae_unidentified,99%,Chaetomiaceae_sp|SH234920.06FU,99%
ASV582,+,Fungi,100%,Ascomycota,100%,Archaeorhizomycetes,98%,Archaeorhizomycetes_unidentified,55%,Archaeorhizomycetes_unidentified_1,55%,Archaeorhizomycetes_unidentified_1,55%,Archaeorhizomycetes_sp|SH198729.06FU,50%
ASV585,+,Fungi,100%,Ascomycota,94%,Dothideomycetes,92%,Dothideomycetes_unidentified,90%,Dothideomycetes_unidentified_1,90%,Dothideomycetes_unidentified_1,90%,Dothideomycetes_sp|SH223802.06FU,33%
ASV586,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,91%,Teratosphaeriaceae,66%,Xenophacidiella,29%,Xenophacidiella_pseudocatenata|SH195099.06FU,29%
ASV587,+,Fungi,100%,Ascomycota,82%,Sordariomycetes,82%,Hypocreales,82%,Nectriaceae,82%,Nectriaceae_unidentified,71%,Nectriaceae_sp|SH217305.06FU,63%
ASV588,+,Fungi,100%,Chytridiomycota,91%,Chytridiomycota_unidentified,50%,Chytridiomycota_unidentified_1,50%,Chytridiomycota_unidentified_1,50%,Chytridiomycota_unidentified_1_1,50%,Chytridiomycota_sp|SH236624.06FU,30%
ASV589,+,Fungi,100%,Chytridiomycota,57%,Chytridiomycetes,50%,Spizellomycetales,37%,Spizellomycetaceae,37%,Spizellomyces,30%,Spizellomyces_sp|SH229712.06FU,29%
ASV590,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Filobasidiales,100%,Filobasidiaceae,87%,Filobasidium,87%,Filobasidium_floriforme|SH216500.06FU,87%
ASV591,+,Fungi,100%,Fungi_unidentified,37%,Fungi_unidentified_1,37%,Fungi_unidentified_1,37%,Fungi_unidentified_1_1,37%,Fungi_unidentified_1_1,37%,Fungi_sp|SH212995.06FU,37%
ASV592,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Sporormiaceae,95%,Preussia,95%,Preussia_sp|SH235609.06FU,94%
ASV593,+,Fungi,100%,Ascomycota,78%,Ascomycota_unidentified,20%,Ascomycota_unidentified_1,20%,Ascomycota_unidentified_1,20%,Ascomycota_unidentified_1_1,20%,Ascomycota_sp|SH196684.06FU,18%
ASV594,+,Fungi,100%,Fungi_unidentified,6%,Fungi_unidentified_1,6%,Fungi_unidentified_1,6%,Fungi_unidentified_1_1,6%,Fungi_unidentified_1_1,6%,Fungi_sp|SH241018.06FU,4%
ASV595,+,Fungi,100%,Zygomycota,90%,Incertae_sedis_10,90%,Mortierellales,90%,Mortierellaceae,89%,Mortierella,89%,Mortierella_sp|SH227414.06FU,87%
ASV596,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Sordariales_unidentified,100%,Sordariales_unidentified_1,100%,Sordariales_sp|SH198732.06FU,100%
ASV598,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,98%,Dothideomycetes_unidentified,98%,Dothideomycetes_unidentified_1,98%,Dothideomycetes_unidentified_1,98%,Dothideomycetes_sp|SH238036.06FU,98%
ASV599,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,58%,Sordariales,56%,Chaetomiaceae,48%,Chaetomiaceae_unidentified,44%,Chaetomiaceae_sp|SH234944.06FU,44%
ASV600,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Thelephorales,100%,Thelephoraceae,100%,Tomentella,78%,Tomentella_sp_2_SGT_2012|SH222928.06FU,75%
ASV601,+,Fungi,100%,Ascomycota,65%,Pezizomycetes,6%,Pezizales,6%,Rhizinaceae,2%,Phymatotrichopsis,2%,Phymatotrichopsis_omnivora|SH207548.06FU,2%
ASV602,+,Fungi,100%,Glomeromycota,95%,Glomeromycetes,93%,Glomerales,78%,Glomeraceae,78%,Glomeraceae_unidentified,70%,Glomeraceae_sp|SH223006.06FU,32%
ASV603,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Incertae_sedis_7,100%,Apiosporaceae,100%,Arthrinium,100%,Arthrinium_sacchari|SH233387.06FU,47%
ASV604,+,Fungi,100%,Zygomycota,100%,Incertae_sedis_10,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella_sp_VN2_2_5|SH211065.06FU,99%
ASV606,+,Fungi,100%,Ascomycota,98%,Ascomycota_unidentified,51%,Ascomycota_unidentified_1,51%,Ascomycota_unidentified_1,51%,Ascomycota_unidentified_1_1,51%,Ascomycota_sp|SH207016.06FU,44%
ASV607,+,Fungi,100%,Ascomycota,66%,Orbiliomycetes,45%,Orbiliales,45%,Orbiliaceae,45%,Arthrobotrys,31%,Arthrobotrys_oligospora|SH220558.06FU,16%
ASV608,+,Fungi,100%,Zygomycota,83%,Incertae_sedis_10,83%,Mortierellales,83%,Mortierellaceae,83%,Mortierella,82%,Mortierella_ambigua|SH232483.06FU,44%
ASV609,+,Fungi,100%,Chytridiomycota,84%,Chytridiomycota_unidentified,71%,Chytridiomycota_unidentified_1,71%,Chytridiomycota_unidentified_1,71%,Chytridiomycota_unidentified_1_1,71%,Chytridiomycota_sp|SH236624.06FU,35%
ASV610,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Sebacinales,100%,Sebacinaceae,100%,Sebacinaceae_unidentified,73%,Sebacinaceae_sp|SH217702.06FU,73%
ASV611,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,100%,Phoma,100%,Phoma_sp|SH207018.06FU,100%
ASV612,+,Fungi,100%,Zygomycota,90%,Incertae_sedis_10,90%,Mortierellales,90%,Mortierellaceae,85%,Mortierella,83%,Mortierella_sp|SH227414.06FU,37%
ASV614,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Pleosporaceae_unidentified,100%,Pleosporaceae_sp|SH224799.06FU,98%
ASV615,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,63%,Ascomycota_unidentified_1,63%,Ascomycota_unidentified_1,63%,Ascomycota_unidentified_1_1,63%,Ascomycota_sp|SH207016.06FU,58%
ASV616,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,97%,Chaetothyriales,96%,Chaetothyriales_unidentified,96%,Chaetothyriales_unidentified_1,96%,Chaetothyriales_sp|SH209759.06FU,96%
ASV619,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH190252.06FU,100%
ASV620,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Sordariales,99%,Chaetomiaceae,86%,Chaetomiaceae_unidentified,55%,Chaetomiaceae_sp|SH234944.06FU,55%
ASV621,+,Fungi,100%,Ascomycota,99%,Sordariomycetes,99%,Hypocreales,99%,Bionectriaceae,99%,Hydropisphaera,99%,Hydropisphaera_sp|SH235787.06FU,98%
ASV622,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,100%,Pleosporales_unidentified_1,100%,Pleosporales_sp|SH206992.06FU,100%
ASV623,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,96%,Rhizoctonia,38%,Rhizoctonia_sp_Eab_S2|SH201698.06FU,38%
ASV624,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Sordariales,94%,Lasiosphaeriaceae,74%,Zopfiella,69%,Zopfiella_sp|SH198733.06FU,68%
ASV626,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideales,100%,Dothioraceae,100%,Aureobasidium,99%,Aureobasidium_pullulans|SH206629.06FU,85%
ASV628,+,Fungi,100%,Ascomycota,80%,Pezizomycetes,75%,Pezizales,75%,Pezizaceae,72%,Pezizaceae_unidentified,24%,Pezizaceae_sp|SH217998.06FU,20%
ASV629,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,99%,Hypocreales_unidentified,99%,Hypocreales_unidentified_1,99%,Hypocreales_sp|SH195615.06FU,48%
ASV630,+,Fungi,100%,Ascomycota,82%,Dothideomycetes,71%,Capnodiales,69%,Mycosphaerellaceae,34%,Periconiella,25%,Periconiella_velutina|SH212697.06FU,25%
ASV631,+,Fungi,100%,Basidiomycota,100%,Microbotryomycetes,100%,Sporidiobolales,100%,Incertae_sedis_25,100%,Sporobolomyces,100%,Sporobolomyces_beijingensis|SH196710.06FU,100%
ASV633,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,72%,Pleosporales,72%,Phaeosphaeriaceae,47%,Stagonospora,24%,Stagonospora_sp_AX113|SH196613.06FU,15%
ASV634,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Capnodiales_unidentified,51%,Capnodiales_unidentified_1,51%,Capnodiales_sp|SH238973.06FU,39%
ASV635,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,100%,Amphisphaeriaceae,100%,Amphisphaeriaceae_unidentified,100%,Amphisphaeriaceae_sp|SH211286.06FU,100%
ASV636,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,100%,Glomeraceae,100%,Glomeraceae_unidentified,99%,Glomeraceae_sp|SH232039.06FU,49%
ASV638,+,Fungi,100%,Basidiomycota,100%,Cystobasidiomycetes,100%,Erythrobasidiales,100%,Incertae_sedis_41,100%,Erythrobasidium,100%,Erythrobasidium_hasegawianum|SH239324.06FU,100%
