ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV3706,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,55%,Ascomycota_unidentified_1,55%,Ascomycota_unidentified_1,55%,Ascomycota_unidentified_1_1,55%,Ascomycota_sp|SH209335.06FU,55%
ASV3707,+,Fungi,100%,Zygomycota,70%,Incertae_sedis_10,70%,Mortierellales,70%,Mortierellaceae,64%,Mortierella,64%,Mortierella_sp|SH214852.06FU,27%
ASV3708,+,Fungi,100%,Basidiomycota,30%,Tremellomycetes,15%,Tremellales,15%,Incertae_sedis_12,11%,Derxomyces,10%,Derxomyces_hainanensis|SH197670.06FU,8%
ASV3709,+,Fungi,99%,Glomeromycota,81%,Glomeromycetes,78%,Glomerales,72%,Glomeraceae,71%,Septoglomus,16%,Septoglomus_viscosum|SH228527.06FU,8%
ASV3711,+,Fungi,100%,Ascomycota,20%,Eurotiomycetes,9%,Pyrenulales,9%,Massariaceae,9%,Massaria,9%,Massaria_aucupariae|SH240306.06FU,7%
ASV3712,+,Fungi,100%,Basidiomycota,85%,Agaricomycetes,82%,Russulales,20%,Auriscalpiaceae,10%,Lentinellus,9%,Lentinellus_cystidiosus|SH200815.06FU,4%
ASV3714,+,Fungi,100%,Fungi_unidentified,12%,Fungi_unidentified_1,12%,Fungi_unidentified_1,12%,Fungi_unidentified_1_1,12%,Fungi_unidentified_1_1,12%,Fungi_sp|SH221439.06FU,7%
ASV3715,+,Fungi,100%,Ascomycota,38%,Lecanoromycetes,9%,Peltigerales,9%,Pannariaceae,8%,Pannaria,8%,Pannaria_pallida|SH229354.06FU,8%
ASV3719,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Montagnulaceae,100%,Montagnulaceae_unidentified,100%,Montagnulaceae_sp|SH239377.06FU,100%
ASV3720,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,89%,Pleosporales,87%,Phaeosphaeriaceae,71%,Phaeosphaeria,39%,Phaeosphaeria_avenaria_f_sp_tritici_6_MM_2012|SH222153.06FU,20%
