ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV1361,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,99%,Cryptococcus,99%,Cryptococcus dimennae,99%
ASV1362,+,Fungi,100%,Ascomycota,100%,Pezizomycotina_Incertae sedis,100%,Pezizomycotina_Incertae sedis,100%,Pezizomycotina_Incertae sedis,100%,Robillarda,100%,Robillarda sessilis,100%
ASV1365,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Clavicipitaceae,99%,Metacordyceps,99%,Metarhizium majus,49%
ASV1366,+,Fungi,100%,Chytridiomycota,62%,Chytridiomycetes,62%,Spizellomycetales,62%,Spizellomycetaceae,62%,Spizellomyces,62%,Spizellomyces pseudodichotomus,43%
ASV1367,+,Fungi,100%,Zygomycota,29%,Mucoromycotina_Incertae sedis,29%,Mucorales,21%,Pilobolaceae,19%,Pilobolus,19%,Pilobolus crystallinus var. kleinii,11%
ASV1372,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,97%,Phaeosphaeria,97%,Phaeosphaeria sp 1 MM_2012,81%
ASV1373,+,Fungi,100%,Zygomycota,100%,Mucoromycotina_Incertae sedis,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella elongata,36%
ASV1374,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,99%,Agaricales,99%,Inocybaceae,58%,Inocybe,58%,Inocybe auricoma,20%
ASV1375,+,Fungi,100%,Zygomycota,17%,Mucoromycotina_Incertae sedis,17%,Mucorales,14%,Pilobolaceae,7%,Pilobolus,7%,Pilobolus umbonatus,7%
ASV1376,+,Fungi,100%,Chytridiomycota,98%,Chytridiomycetes,98%,Spizellomycetales,97%,Spizellomycetaceae,97%,Spizellomyces,97%,Spizellomyces dolichospermus,80%
ASV1378,+,Fungi,100%,Zygomycota,5%,Mucoromycotina_Incertae sedis,3%,Mortierellales,3%,Mortierellaceae,3%,Mortierella,3%,Mortierella epigama,3%
ASV1379,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Trichosphaeriales,97%,Trichosphaeriales_Incertae sedis,97%,Khuskia,87%,Nigrospora oryzae,76%
ASV1380,+,Fungi,100%,Basidiomycota,60%,Ustilaginomycetes,10%,Ustilaginales,10%,Ustilaginales_Incertae sedis,1%,Farysizyma,1%,Farysizyma itapuensis,1%
ASV1381,+,Fungi,100%,Basidiomycota,72%,Tremellomycetes,40%,Tremellales,39%,Tremellaceae,35%,Cryptococcus,35%,Cryptococcus sp FYB_2007a,28%
ASV1382,+,Fungi,100%,Basidiomycota,97%,Tremellomycetes,97%,Tremellales,97%,Tremellales_Incertae sedis,97%,Dioszegia,97%,Dioszegia changbaiensis,55%
ASV1383,+,Fungi,100%,Basidiomycota,77%,Agaricomycetes,72%,Atheliales,46%,Atheliaceae,46%,Athelia,42%,Sclerotium delphinii,23%
ASV1385,+,Fungi,100%,Ascomycota,15%,Eurotiomycetes,7%,Onygenales,6%,Arthrodermataceae,6%,Trichophyton,6%,Trichophyton raubitschekii,6%
ASV1386,+,Fungi,100%,Ascomycota,72%,Eurotiomycetes,14%,Onygenales,4%,Arthrodermataceae,4%,Trichophyton,3%,Trichophyton raubitschekii,3%
ASV1387,+,Fungi,100%,Basidiomycota,50%,Ustilaginomycetes,8%,Ustilaginales,8%,Melanotaeniaceae,7%,Melanotaenium,7%,Melanotaenium euphorbiae,7%
ASV1388,+,Fungi,100%,Basidiomycota,81%,Tremellomycetes,56%,Trichosporonales,29%,Trichosporonaceae,29%,Trichosporon,26%,Trichosporon ovoides,11%
ASV1389,+,Fungi,100%,Basidiomycota,47%,Ustilaginomycetes,7%,Ustilaginales,7%,Ustilaginales_Incertae sedis,3%,Farysizyma,3%,Farysizyma itapuensis,3%
ASV1390,+,Fungi,100%,Ascomycota,94%,Eurotiomycetes,38%,Eurotiales,27%,Trichocomaceae,27%,Penicillium,6%,Penicillium chermesinum,3%
ASV1391,+,Fungi,100%,Zygomycota,66%,Mucoromycotina_Incertae sedis,66%,Mortierellales,66%,Mortierellaceae,66%,Mortierella,66%,Mortierella epigama,50%
ASV1392,+,Fungi,100%,Zygomycota,89%,Mucoromycotina_Incertae sedis,89%,Mortierellales,86%,Mortierellaceae,86%,Mortierella,86%,Mortierella wolfii,63%
ASV1393,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,100%,Coprinellus,100%,Coprinellus radians,49%
ASV1395,+,Fungi,100%,Ascomycota,99%,Sordariomycetes,95%,Sordariales,68%,Lasiosphaeriaceae,58%,Cladorrhinum,31%,Cladorrhinum phialophoroides,31%
ASV1397,+,Fungi,100%,Basidiomycota,70%,Microbotryomycetes,11%,Sporidiobolales,11%,Sporidiobolales_Incertae sedis,11%,Rhodotorula,8%,Rhodotorula cresolica,3%
ASV1398,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,100%,Glomeraceae,100%,Rhizophagus,73%,Rhizophagus cf irregularis MUCL 43205,47%
ASV1399,+,Fungi,100%,Ascomycota,69%,Dothideomycetes,22%,Pleosporales,15%,Sporormiaceae,8%,Preussia,6%,Preussia isomera,6%
ASV1401,+,Fungi,100%,Zygomycota,7%,Mucoromycotina_Incertae sedis,7%,Mortierellales,6%,Mortierellaceae,6%,Mortierella,6%,Mortierella epigama,6%
ASV1402,+,Fungi,100%,Ascomycota,70%,Pezizomycetes,64%,Pezizales,64%,Pezizaceae,64%,Pachyphloeus,62%,Pachyphloeus melanoxanthus,29%
ASV1405,+,Fungi,100%,Ascomycota,74%,Pezizomycetes,49%,Pezizales,49%,Pezizaceae,44%,Peziza,40%,Peziza depressa,20%
ASV1406,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Botryosphaeriales,100%,Botryosphaeriaceae,100%,Macrophomina,98%,Macrophomina phaseolina,98%
ASV1407,+,Fungi,100%,Ascomycota,79%,Dothideomycetes,71%,Pleosporales,70%,Pleosporales_Incertae sedis,38%,Pyrenochaeta,28%,Pyrenochaeta gentianicola,28%
ASV1408,+,Fungi,100%,Basidiomycota,91%,Agaricomycetes,82%,Auriculariales,59%,Auriculariales_Incertae sedis,59%,Protomerulius,45%,Elmerina caryae,45%
ASV1409,+,Fungi,100%,Ascomycota,100%,Orbiliomycetes,100%,Orbiliales,100%,Orbiliaceae,100%,Arthrobotrys,77%,Arthrobotrys thaumasia,38%
ASV1410,+,Fungi,100%,Basidiomycota,52%,Agaricomycetes,38%,Agaricales,24%,Psathyrellaceae,5%,Psathyrella,5%,Psathyrella fibrillosa,5%
ASV1411,+,Fungi,100%,Ascomycota,75%,Eurotiomycetes,14%,Pyrenulales,5%,Massariaceae,5%,Massaria,5%,Massaria pyri,3%
ASV1412,+,Fungi,100%,Basidiomycota,47%,Agaricomycetes,28%,Agaricales,19%,Psathyrellaceae,4%,Psathyrella,4%,Psathyrella fibrillosa,4%
ASV1413,+,Fungi,100%,Zygomycota,8%,Mucoromycotina_Incertae sedis,8%,Mortierellales,8%,Mortierellaceae,8%,Mortierella,8%,Mortierella epigama,6%
ASV1414,+,Fungi,100%,Ascomycota,48%,Saccharomycetes,19%,Saccharomycetales,19%,Saccharomycetales_Incertae sedis,7%,Candida,4%,Candida digboiensis,0%
ASV1417,+,Fungi,100%,Ascomycota,98%,Sordariomycetes,92%,Sordariales,48%,Lasiosphaeriaceae,34%,Cladorrhinum,25%,Cladorrhinum phialophoroides,25%
ASV1418,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Diaporthales,100%,Togniniaceae,100%,Phaeoacremonium,100%,Phaeoacremonium parasiticum,73%
ASV1419,+,Fungi,100%,Ascomycota,94%,Dothideomycetes,90%,Pleosporales,90%,Phaeosphaeriaceae,58%,Phaeosphaeria,49%,Phaeosphaeria phragmitis,12%
ASV1420,+,Fungi,100%,Chytridiomycota,86%,Chytridiomycetes,86%,Rhizophlyctidales,74%,Rhizophlyctidaceae,74%,Rhizophlyctis,74%,Rhizophlyctis rosea,74%
ASV1425,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Sordariaceae,100%,Neurospora,100%,Neurospora africana,65%
ASV1426,+,Fungi,100%,Ascomycota,88%,Leotiomycetes,63%,Helotiales,57%,Hyaloscyphaceae,33%,Pseudaegerita,29%,Pseudaegerita viridis,29%
ASV1427,+,Fungi,100%,Basidiomycota,64%,Agaricomycetes,54%,Agaricales,28%,Agaricaceae,7%,Macrolepiota,6%,Macrolepiota fuliginosa,6%
ASV1428,+,Fungi,100%,Zygomycota,15%,Mucoromycotina_Incertae sedis,15%,Mortierellales,14%,Mortierellaceae,14%,Mortierella,14%,Mortierella epigama,12%
ASV1429,+,Fungi,100%,Ascomycota,67%,Orbiliomycetes,32%,Orbiliales,32%,Orbiliaceae,32%,Arthrobotrys,18%,Arthrobotrys amerospora,5%
ASV1430,+,Fungi,100%,Basidiomycota,78%,Agaricomycetes,73%,Agaricales,52%,Agaricaceae,11%,Macrolepiota,8%,Macrolepiota fuliginosa,8%
ASV1432,+,Fungi,100%,Basidiomycota,57%,Ustilaginomycetes,13%,Ustilaginales,13%,Ustilaginales_Incertae sedis,1%,Farysizyma,1%,Farysizyma itapuensis,1%
ASV1433,+,Fungi,100%,Zygomycota,9%,Mucoromycotina_Incertae sedis,9%,Mortierellales,8%,Mortierellaceae,8%,Mortierella,8%,Mortierella epigama,8%
ASV1434,+,Fungi,100%,Ascomycota,96%,Dothideomycetes,92%,Pleosporales,70%,Phaeosphaeriaceae,66%,Sclerostagonospora,44%,Sclerostagonospora sp CBS 118152,44%
ASV1435,+,Fungi,100%,Ascomycota,95%,Dothideomycetes,89%,Pleosporales,89%,Lophiostomataceae,79%,Massarina,79%,Massarina igniaria,77%
ASV1438,+,Fungi,100%,Basidiomycota,78%,Agaricomycetes,60%,Boletales,21%,Boletaceae,21%,Boletus,21%,Boletus pulchrotinctus,10%
ASV1439,+,Fungi,100%,Chytridiomycota,42%,Chytridiomycetes,42%,Spizellomycetales,41%,Spizellomycetaceae,41%,Spizellomyces,40%,Spizellomyces plurigibbosus,26%
ASV1440,+,Fungi,100%,Zygomycota,11%,Mucoromycotina_Incertae sedis,9%,Mortierellales,8%,Mortierellaceae,8%,Mortierella,8%,Mortierella epigama,7%
ASV1442,+,Fungi,100%,Ascomycota,97%,Sordariomycetes,75%,Sordariales,39%,Lasiosphaeriaceae,29%,Cladorrhinum,20%,Cladorrhinum phialophoroides,20%
ASV1443,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,96%,Chaetomiaceae,66%,Myceliophthora,30%,Corynascus sepedonium,23%
ASV1445,+,Fungi,100%,Ascomycota,95%,Dothideomycetes,92%,Pleosporales,89%,Pleosporaceae,65%,Alternaria,11%,Alternaria panax,3%
ASV1446,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,98%,Phaeosphaeria,98%,Phaeosphaeria sp 1 MM_2012,68%
ASV1447,+,Fungi,100%,Ascomycota,71%,Sordariomycetes,18%,Hypocreales,12%,Nectriaceae,9%,Nectria,7%,Nectria ventricosa,7%
ASV1448,+,Fungi,100%,Ascomycota,78%,Eurotiomycetes,15%,Onygenales,10%,Arthrodermataceae,9%,Trichophyton,7%,Trichophyton raubitschekii,7%
ASV1449,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Botryosphaeriales,100%,Botryosphaeriaceae,100%,Botryosphaeria,98%,Botryosphaeria obtusa,83%
ASV1450,+,Fungi,100%,Ascomycota,95%,Eurotiomycetes,68%,Chaetothyriales,48%,Herpotrichiellaceae,44%,Exophiala,26%,Exophiala alcalophila,19%
ASV1452,+,Fungi,100%,Basidiomycota,44%,Agaricomycetes,29%,Agaricales,23%,Agaricaceae,9%,Macrolepiota,9%,Macrolepiota fuliginosa,8%
ASV1453,+,Fungi,100%,Ascomycota,67%,Eurotiomycetes,10%,Eurotiales,6%,Trichocomaceae,6%,Hamigera,1%,Hamigera insecticola,1%
ASV1454,+,Fungi,100%,Basidiomycota,46%,Agaricostilbomycetes,13%,Agaricostilbales,13%,Agaricostilbaceae,11%,Bensingtonia,11%,Bensingtonia naganoensis,10%
ASV1455,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Thanatephorus,86%,Rhizoctonia solani,55%
ASV1456,+,Fungi,100%,Ascomycota,99%,Sordariomycetes,83%,Hypocreales,52%,Nectriaceae,14%,Fusarium,4%,Fusarium poae,2%
ASV1457,+,Fungi,100%,Ascomycota,99%,Eurotiomycetes,35%,Chaetothyriales,35%,Herpotrichiellaceae,35%,Phialophora,34%,Phialophora cyclaminis,34%
ASV1458,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,99%,Capnodiales,99%,Mycosphaerellaceae,51%,Mycosphaerella,48%,Mycosphaerella verrucosiafricana,43%
ASV1460,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,100%,Phaeosphaeria,100%,Phaeosphaeria phragmitis,66%
ASV1461,+,Fungi,100%,Ascomycota,81%,Leotiomycetes,16%,Helotiales,16%,Helotiales_Incertae sedis,4%,Tetracladium,4%,Tetracladium setigerum,2%
ASV1462,+,Fungi,100%,Ascomycota,96%,Sordariomycetes,89%,Microascales,15%,Microascaceae,15%,Microascus,14%,Scopulariopsis brevicaulis,14%
ASV1463,+,Fungi,100%,Ascomycota,72%,Archaeorhizomycetes,34%,Archaeorhizomycetales,34%,Archaeorhizomycetaceae,34%,Archaeorhizomyces,34%,Archaeorhizomyces finlayi,34%
ASV1464,+,Fungi,100%,Basidiomycota,64%,Agaricomycetes,46%,Agaricales,32%,Agaricaceae,2%,Macrolepiota,1%,Macrolepiota fuliginosa,1%
ASV1465,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Boletales,100%,Melanogastraceae,100%,Melanogaster,100%,Melanogaster ambiguus,70%
ASV1466,+,Fungi,100%,Zygomycota,11%,Mucoromycotina_Incertae sedis,11%,Mortierellales,10%,Mortierellaceae,10%,Mortierella,10%,Mortierella epigama,9%
ASV1468,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,93%,Xylariaceae,33%,Kretzschmaria,26%,Kretzschmaria deusta,26%
ASV1469,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariomycetidae_Incertae sedis,100%,Apiosporaceae,100%,Arthrinium,100%,Arthrinium arundinis,90%
ASV1470,+,Fungi,100%,Basidiomycota,53%,Agaricomycetes,35%,Agaricales,23%,Psathyrellaceae,2%,Psathyrella,1%,Psathyrella fibrillosa,1%
ASV1471,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,100%,Glomeraceae,100%,Funneliformis,89%,Glomus monosporum,50%
ASV1473,+,Fungi,100%,Ascomycota,99%,Sordariomycetes,87%,Sordariales,38%,Lasiosphaeriaceae,25%,Podospora,13%,Podospora petrogale,10%
ASV1475,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Sordariales,95%,Lasiosphaeriaceae,89%,Zopfiella,79%,Zopfiella marina,58%
ASV1476,+,Fungi,100%,Ascomycota,98%,Sordariomycetes,88%,Hypocreales,51%,Nectriaceae,42%,Fusarium,28%,Fusarium poae,18%
ASV1479,+,Fungi,100%,Ascomycota,100%,Pezizomycetes,100%,Pezizales,100%,Tuberaceae,100%,Tuber,100%,Tuber mexiusanum,84%
ASV1483,+,Fungi,100%,Ascomycota,98%,Pezizomycotina_Incertae sedis,21%,Pezizomycotina_Incertae sedis,21%,Pezizomycotina_Incertae sedis,21%,Veronaea,20%,Veronaea botryosa,20%
ASV1484,+,Fungi,100%,Basidiomycota,99%,Tremellomycetes,97%,Tremellales,97%,Tremellales_Incertae sedis,97%,Dioszegia,93%,Dioszegia catarinonii,71%
ASV1486,+,Fungi,100%,Ascomycota,75%,Dothideomycetes,54%,Pleosporales,51%,Sporormiaceae,21%,Westerdykella,7%,Westerdykella ornata,7%
ASV1487,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,100%,Phaeosphaeria,100%,Phaeosphaeria phragmitis,84%
ASV1489,+,Fungi,100%,Basidiomycota,96%,Ustilaginomycetes,83%,Ustilaginales,83%,Ustilaginales_Incertae sedis,46%,Farysizyma,46%,Farysizyma itapuensis,46%
ASV1491,+,Fungi,100%,Basidiomycota,41%,Agaricomycetes,28%,Agaricales,15%,Tricholomataceae,8%,Melanoleuca,7%,Melanoleuca substrictipes,7%
ASV1492,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,96%,Myrothecium,96%,Myrothecium roridum,92%
ASV1494,+,Fungi,100%,Basidiomycota,81%,Agaricomycetes,65%,Agaricales,49%,Psathyrellaceae,10%,Psathyrella,9%,Psathyrella fibrillosa,9%
ASV1495,+,Fungi,100%,Ascomycota,93%,Eurotiomycetes,51%,Onygenales,32%,Arthrodermataceae,27%,Trichophyton,14%,Trichophyton raubitschekii,14%
ASV1496,+,Fungi,100%,Glomeromycota,50%,Glomeromycetes,50%,Glomerales,45%,Glomeraceae,45%,Rhizophagus,12%,Rhizophagus sp MUCL 43208,11%
ASV1497,+,Fungi,100%,Basidiomycota,90%,Agaricomycetes,86%,Agaricales,76%,Cortinariaceae,20%,Cortinarius,20%,Cortinarius septentrionalis,10%
ASV1498,+,Fungi,100%,Ascomycota,94%,Eurotiomycetes,88%,Chaetothyriales,86%,Herpotrichiellaceae,86%,Cladophialophora,36%,Cladophialophora chaetospira,28%
ASV1499,+,Fungi,100%,Ascomycota,97%,Sordariomycetes,90%,Microascales,19%,Microascaceae,19%,Microascus,16%,Scopulariopsis brevicaulis,16%
ASV1502,+,Fungi,100%,Ascomycota,95%,Lecanoromycetes,54%,Ostropales,46%,Stictidaceae,46%,Stictis,30%,Stictis populorum,25%
ASV1503,+,Fungi,100%,Chytridiomycota,92%,Chytridiomycetes,92%,Rhizophlyctidales,85%,Rhizophlyctidaceae,85%,Rhizophlyctis,85%,Rhizophlyctis rosea,85%
ASV1504,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Chaetomiaceae,100%,Chaetomium,100%,Chaetomium globosum,68%
ASV1506,+,Fungi,100%,Ascomycota,100%,Pezizomycotina_Incertae sedis,100%,Pezizomycotina_Incertae sedis,100%,Pezizomycotina_Incertae sedis,100%,Knufia,100%,Sarcinomyces petricola,45%
ASV1507,+,Fungi,100%,Basidiomycota,77%,Agaricomycetes,60%,Agaricales,30%,Tricholomataceae,8%,Melanoleuca,5%,Melanoleuca substrictipes,4%
ASV1508,+,Fungi,100%,Ascomycota,100%,Leotiomycetes,100%,Helotiales,100%,Sclerotiniaceae,100%,Sclerotinia,100%,Sclerotinia homoeocarpa,100%
ASV1510,+,Fungi,100%,Ascomycota,92%,Sordariomycetes,87%,Sordariales,48%,Lasiosphaeriaceae,39%,Cladorrhinum,29%,Cladorrhinum phialophoroides,29%
ASV1511,+,Fungi,100%,Chytridiomycota,84%,Chytridiomycetes,84%,Rhizophlyctidales,76%,Rhizophlyctidaceae,76%,Rhizophlyctis,76%,Rhizophlyctis rosea,76%
ASV1513,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,100%,Amphisphaeriaceae,100%,Discosia,93%,Discosia sp 1 KT_2010,93%
ASV1516,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,100%,Cryptococcus,100%,Cryptococcus tephrensis,88%
ASV1518,+,Fungi,100%,Ascomycota,91%,Dothideomycetes,79%,Pleosporales,78%,Pleomassariaceae,48%,Helminthosporium,48%,Helminthosporium solani,23%
ASV1519,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,100%,Glomeraceae,100%,Glomus,96%,Glomus irregulare,96%
ASV1520,+,Fungi,100%,Glomeromycota,46%,Glomeromycetes,46%,Glomerales,45%,Glomeraceae,44%,Glomus,21%,Glomus indicum,5%
ASV1521,+,Fungi,100%,Ascomycota,69%,Pezizomycotina_Incertae sedis,61%,Pezizomycotina_Incertae sedis,61%,Pezizomycotina_Incertae sedis,61%,Calcarisporiella,61%,Calcarisporiella thermophila,61%
ASV1522,+,Fungi,100%,Ascomycota,93%,Sordariomycetes,79%,Hypocreales,37%,Nectriaceae,19%,Gibberella,12%,Fusarium venenatum,8%
ASV1523,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,47%,Capnodiales,47%,Mycosphaerellaceae,36%,Ramulispora,11%,Ramulispora sorghi,11%
ASV1527,+,Fungi,100%,Ascomycota,84%,Pezizomycotina_Incertae sedis,23%,Pezizomycotina_Incertae sedis,23%,Pezizomycotina_Incertae sedis,23%,Chalara,21%,Chalara hyalocuspica,10%
ASV1528,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,100%,Xylariaceae,99%,Anthostomella,92%,Anthostomella conorum,92%
ASV1530,+,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,100%,Aspergillus,100%,Aspergillus awamori,79%
ASV1531,+,Fungi,100%,Basidiomycota,50%,Ustilaginomycetes,3%,Ustilaginales,3%,Ustilaginales_Incertae sedis,3%,Farysizyma,3%,Farysizyma itapuensis,3%
ASV1533,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Montagnulaceae,84%,Paraphaeosphaeria,45%,Paraphaeosphaeria michotii,45%
ASV1534,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Strophariaceae,100%,Stropharia,100%,Stropharia rugosoannulata,100%
ASV1535,+,Fungi,100%,Chytridiomycota,78%,Chytridiomycetes,78%,Rhizophlyctidales,73%,Rhizophlyctidaceae,73%,Rhizophlyctis,73%,Rhizophlyctis rosea,73%
ASV1537,+,Fungi,100%,Ascomycota,66%,Pezizomycetes,44%,Pezizales,44%,Pezizaceae,41%,Peziza,35%,Peziza depressa,31%
ASV1538,+,Fungi,100%,Ascomycota,85%,Dothideomycetes,82%,Pleosporales,82%,Phaeosphaeriaceae,27%,Phaeosphaeria,27%,Phaeosphaeria eustoma,9%
ASV1539,+,Fungi,100%,Basidiomycota,51%,Agaricomycetes,36%,Agaricales,24%,Tricholomataceae,7%,Melanoleuca,6%,Melanoleuca substrictipes,6%
ASV1540,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,100%,Glomeraceae,100%,Funneliformis,100%,Glomus monosporum,64%
ASV1541,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Chaetomiaceae,98%,Chaetomium,94%,Chaetomium globosum,85%
ASV1542,+,Fungi,100%,Ascomycota,87%,Eurotiomycetes,60%,Eurotiales,51%,Trichocomaceae,51%,Paecilomyces,16%,Byssochlamys nivea,10%
ASV1543,+,Fungi,100%,Basidiomycota,57%,Agaricomycetes,33%,Agaricales,28%,Tricholomataceae,23%,Melanoleuca,23%,Melanoleuca substrictipes,23%
ASV1545,+,Fungi,100%,Zygomycota,31%,Mucoromycotina_Incertae sedis,31%,Mortierellales,7%,Mortierellaceae,7%,Mortierella,7%,Mortierella epigama,6%
ASV1546,+,Fungi,100%,Zygomycota,100%,Mucoromycotina_Incertae sedis,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella alpina,82%
ASV1547,+,Fungi,100%,Ascomycota,64%,Pezizomycetes,26%,Pezizales,26%,Pyronemataceae,19%,Geopora,6%,Geopora tenuis,5%
ASV1549,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Edenia,100%,Edenia gomezpompae,100%
ASV1550,+,Fungi,100%,Ascomycota,41%,Pezizomycetes,15%,Pezizales,15%,Pezizaceae,5%,Peziza,5%,Peziza depressa,5%
ASV1551,+,Fungi,100%,Ascomycota,95%,Dothideomycetes,39%,Capnodiales,38%,Mycosphaerellaceae,31%,Periconiella,14%,Periconiella velutina,14%
ASV1552,+,Fungi,100%,Basidiomycota,90%,Agaricomycetes,86%,Auriculariales,67%,Auriculariales_Incertae sedis,67%,Protomerulius,37%,Elmerina caryae,37%
ASV1553,+,Fungi,100%,Zygomycota,24%,Mucoromycotina_Incertae sedis,22%,Mortierellales,9%,Mortierellaceae,9%,Mortierella,9%,Mortierella epigama,2%
ASV1554,+,Fungi,100%,Glomeromycota,94%,Glomeromycetes,94%,Glomerales,94%,Glomeraceae,94%,Glomus,90%,Glomus aggregatum,88%
ASV1555,+,Fungi,100%,Ascomycota,93%,Sordariomycetes,80%,Microascales,11%,Microascaceae,11%,Microascus,11%,Scopulariopsis brevicaulis,11%
ASV1556,+,Fungi,100%,Zygomycota,7%,Mucoromycotina_Incertae sedis,7%,Mortierellales,5%,Mortierellaceae,5%,Mortierella,5%,Mortierella epigama,4%
ASV1557,+,Fungi,100%,Chytridiomycota,63%,Chytridiomycetes,63%,Spizellomycetales,63%,Spizellomycetaceae,63%,Spizellomyces,62%,Spizellomyces dolichospermus,49%
ASV1558,+,Fungi,100%,Chytridiomycota,57%,Chytridiomycetes,57%,Spizellomycetales,56%,Spizellomycetaceae,56%,Spizellomyces,55%,Spizellomyces dolichospermus,37%
ASV1559,+,Fungi,100%,Chytridiomycota,86%,Chytridiomycetes,86%,Spizellomycetales,85%,Spizellomycetaceae,85%,Spizellomyces,85%,Spizellomyces dolichospermus,70%
ASV1560,+,Fungi,100%,Ascomycota,94%,Dothideomycetes,40%,Capnodiales,39%,Mycosphaerellaceae,31%,Periconiella,11%,Periconiella velutina,11%
ASV1562,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Dissoconium,100%,Dissoconium aciculare,83%
ASV1563,+,Fungi,100%,Basidiomycota,31%,Agaricomycetes,25%,Agaricales,21%,Agaricaceae,8%,Macrolepiota,8%,Macrolepiota fuliginosa,8%
ASV1564,+,Fungi,100%,Zygomycota,100%,Mucoromycotina_Incertae sedis,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella exigua,61%
ASV1565,+,Fungi,100%,Basidiomycota,62%,Agaricostilbomycetes,6%,Agaricostilbales,6%,Agaricostilbaceae,6%,Bensingtonia,6%,Bensingtonia naganoensis,5%
ASV1566,+,Fungi,100%,Ascomycota,76%,Pezizomycetes,55%,Pezizales,55%,Tuberaceae,52%,Tuber,52%,Tuber umbilicatum,49%
ASV1567,+,Fungi,100%,Ascomycota,60%,Saccharomycetes,14%,Saccharomycetales,14%,Saccharomycetales_Incertae sedis,9%,Candida,7%,Candida digboiensis,4%
ASV1569,+,Fungi,100%,Ascomycota,83%,Pezizomycetes,38%,Pezizales,38%,Sarcoscyphaceae,24%,Sarcoscypha,18%,Sarcoscypha korfiana,17%
ASV1570,+,Fungi,100%,Ascomycota,95%,Dothideomycetes,89%,Pleosporales,87%,Pleosporales_Incertae sedis,56%,Pyrenochaeta,47%,Pyrenochaeta gentianicola,44%
ASV1571,+,Fungi,100%,Chytridiomycota,96%,Chytridiomycetes,96%,Rhizophlyctidales,95%,Rhizophlyctidaceae,95%,Rhizophlyctis,95%,Rhizophlyctis rosea,95%
ASV1573,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,100%,Cryptococcus,100%,Cryptococcus flavus,75%
