ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV5917,+,Fungi,100%,Basidiomycota,66%,Agaricomycetes,57%,Agaricales,40%,Agaricaceae,10%,Macrolepiota,9%,Macrolepiota fuliginosa,8%
ASV5918,+,Fungi,100%,Zygomycota,5%,Mucoromycotina_Incertae sedis,5%,Mortierellales,5%,Mortierellaceae,5%,Mortierella,5%,Mortierella epigama,5%
ASV5919,+,Fungi,100%,Ascomycota,30%,Saccharomycetes,9%,Saccharomycetales,9%,Saccharomycetales_Incertae sedis,8%,Cyberlindnera,3%,Cyberlindnera fabianii,3%
ASV5920,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,97%,Capnodiales,97%,Teratosphaeriaceae,78%,Teratosphaeria,77%,Teratosphaeria bellula,50%
ASV5921,+,Fungi,100%,Zygomycota,30%,Mucoromycotina_Incertae sedis,29%,Mortierellales,21%,Mortierellaceae,21%,Mortierella,21%,Mortierella epigama,21%
ASV5922,+,Fungi,100%,Zygomycota,34%,Mucoromycotina_Incertae sedis,30%,Mortierellales,14%,Mortierellaceae,14%,Mortierella,14%,Mortierella epigama,13%
ASV5923,+,Fungi,100%,Zygomycota,21%,Mucoromycotina_Incertae sedis,21%,Mortierellales,14%,Mortierellaceae,14%,Mortierella,14%,Mortierella epigama,14%
ASV5924,+,Fungi,100%,Basidiomycota,80%,Agaricomycetes,51%,Sebacinales,21%,Sebacinales Group A,21%,Sebacina,21%,Sebacina incrustans,21%
ASV5925,+,Fungi,100%,Basidiomycota,50%,Microbotryomycetes,5%,Sporidiobolales,4%,Sporidiobolales_Incertae sedis,4%,Sporobolomyces,4%,Sporobolomyces lactophilus,4%
ASV5926,+,Fungi,100%,Chytridiomycota,39%,Chytridiomycetes,39%,Rhizophydiales,38%,Rhizophydiaceae,34%,Rhizophydium,34%,Rhizophydium haynaldii,28%
ASV5927,+,Fungi,100%,Chytridiomycota,100%,Chytridiomycetes,100%,Spizellomycetales,100%,Spizellomycetaceae,100%,Spizellomyces,100%,Spizellomyces dolichospermus,100%
ASV5928,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Bolbitiaceae,100%,Panaeolus,100%,Panaeolus foenisecii,46%
ASV5929,+,Fungi,100%,Glomeromycota,34%,Glomeromycetes,34%,Glomerales,25%,Glomeraceae,25%,Glomus,23%,Glomus tortuosum,22%
ASV5930,+,Fungi,100%,Zygomycota,42%,Mucoromycotina_Incertae sedis,39%,Mortierellales,38%,Mortierellaceae,38%,Mortierella,38%,Mortierella epigama,11%
ASV5931,+,Fungi,100%,Basidiomycota,35%,Ustilaginomycetes,5%,Ustilaginales,5%,Ustilaginales_Incertae sedis,5%,Farysizyma,5%,Farysizyma itapuensis,5%
ASV5932,+,Fungi,100%,Ascomycota,99%,Sordariomycetes,98%,Sordariales,83%,Lasiosphaeriaceae,57%,Podospora,34%,Podospora fimiseda,28%
ASV5933,+,Fungi,100%,Basidiomycota,47%,Ustilaginomycetes,10%,Ustilaginales,10%,Ustilaginales_Incertae sedis,3%,Farysizyma,3%,Farysizyma itapuensis,3%
ASV5935,+,Fungi,100%,Basidiomycota,56%,Agaricomycetes,33%,Agaricales,25%,Tricholomataceae,6%,Melanoleuca,6%,Melanoleuca substrictipes,6%
ASV5936,+,Fungi,100%,Ascomycota,55%,Pezizomycetes,22%,Pezizales,22%,Pezizaceae,20%,Peziza,19%,Peziza depressa,19%
ASV5937,+,Fungi,100%,Basidiomycota,41%,Ustilaginomycetes,6%,Ustilaginales,6%,Ustilaginales_Incertae sedis,3%,Farysizyma,3%,Farysizyma itapuensis,3%
ASV5938,+,Fungi,100%,Ascomycota,79%,Orbiliomycetes,53%,Orbiliales,53%,Orbiliaceae,53%,Arthrobotrys,24%,Arthrobotrys conoides,12%
ASV5939,+,Fungi,100%,Ascomycota,72%,Pezizomycetes,32%,Pezizales,32%,Pyronemataceae,27%,Geopora,13%,Geopora tenuis,12%
ASV5940,+,Fungi,100%,Ascomycota,68%,Pezizomycetes,57%,Pezizales,57%,Pezizaceae,56%,Peziza,51%,Peziza depressa,50%
ASV5941,+,Fungi,100%,Basidiomycota,47%,Ustilaginomycetes,8%,Ustilaginales,8%,Ustilaginales_Incertae sedis,6%,Farysizyma,6%,Farysizyma itapuensis,6%
ASV5942,+,Fungi,100%,Zygomycota,23%,Mucoromycotina_Incertae sedis,22%,Mortierellales,12%,Mortierellaceae,12%,Mortierella,12%,Mortierella epigama,12%
ASV5943,+,Fungi,100%,Basidiomycota,27%,Agaricomycetes,14%,Agaricales,6%,Tricholomataceae,3%,Melanoleuca,3%,Melanoleuca substrictipes,3%
